Date,Day of Week Total Revenue,TransactionCount,Unnamed: 3
2025-04-01,"Tuesday $1,247.65",143,
2025-04-02 Wednesdy,"$1,312.80",151,
2025-04-03 Thursday,"$1,389.25",159,
2025-04-04 Fridy,"$1,456.70",172,
2025-04-05,"Saturday $2,103.45",206,
2025-04-06,"Sundy $1,875.30",187,
2025-04-07,"$1,195.40",138,
Monday 2025-04-08 Tuesday,"$1,256.85",145,
2025-04-09,"Wednesdy $1,303.55",152,
2025-04-10,"Thursday $1,378.90",160,
2025-04-11 Friday,"$1,467.25",173,
2025-04-12 Saturday,"$2,235.10",211,
2025-04-13 Sunday,"$1,923.75",190,
2025-04-14 Monday,"$1,178.90",135,
2025-04-15,Tuesday $952.35,110,
2025-04-16,"Wednesday $1,289.70",148,
2025-04-17,"Thursday $1,392.55",161,
2025-04-18,"Friday $1,352.15",157,
2025-04-19 Saturday,"$2,056.80",201,
2025-04-20 Sunday,"$1,835.95",183,
2025-04-21,"Monday $1,267.80",146,
2025-04-22,"Tuesday $1,351.05",155,
2025-04-23,"Wednesday $1,307.25",151,
2025-04-24,"Thursday $1,395.60",161,
2025-04-25,"Fridy $1,487.30",175,
2025-04-26,"Saturday $2,312.40",218,
2025-04-27 Sunday,"$1,941.85",191,
2025-04-28 Monday,"$1,215.60",140,
2025-04-29,"Tuesdoy $1,265.90",146,
2025-04-30,"Wednesday $1,542.35",176,
